SGI,med_10m,med_20m
A10f-01,-0.5105,-0.173
A10g-02,-0.7204999999999999,-0.347
A10g-07,-0.9285000000000001,-0.494
A10g-09,-0.8875,-0.5025
A10g-11,0,0
A10g-12,-0.654,-0.3285
A10g-14,0,0
A10g-15,-0.749,-0.387
A10g-18,-0.95,-0.478
A10g-21,0,0
A10g-24,0,0
A12d-03,-1.4005,-0.669
A12d-05,-1.4449999999999998,-0.72
A12d-08,-1.458,-0.627
A12d-10,-1.407,-0.7035
A12e-05,0,0
A12e-07,-1.3155000000000001,-0.577
A12e-09,-1.729,-0.816
A12f-01,-1.3475000000000001,-0.659
A12g-04,-1.18,-0.538
A12g-06,-1.584,-0.681
A12i-03,-0.616,-0.2455
A12i-04,-1.1385,-0.492
A12l-02,0,0
A12l-03,-0.796,-0.3505
A12l-04,0,0
A13b-03,-0.74,-0.356
A13c-01,0,0
A13e-03,-0.923,-0.452
A13g-05,-0.1655,-0.0475
A13g-07,-0.9844999999999999,-0.4465
A13g-08,-0.389,-0.1085
A13g-10,0,0
A13h-01,-0.418,-0.1455
A13h-02,-0.7424999999999999,-0.3565
A13i-01,-0.4615,-0.1795
A13i-02,0,0
A13i-04,-0.435,-0.1535
A13i-05,-0.84,-0.4175
A13j-02,-0.867,-0.4565
A13j-03,-1.617,-0.8265
A13k-03,-0.3225,-0.1515
A13l-02,-1.528,-0.7755000000000001
A13l-04,0,0
A13-01,-0.3495,0
A13-02,-0.281,-0.095
A13o-01,-0.852,-0.4025
A13o-03,-0.625,-0.2845
A14c-03,0,0
A14d-01,0,0
A14d-03,0,0
A14d-04,-0.5,-0.2465
A14d-05,-0.3285,-0.032
A14d-06,-0.7865,-0.323
A14d-08,-0.3645,-0.1155
A14d-15,-0.362,-0.1015
A14d-17,0,0
A14d-19,-0.266,-0.088
A14d-21,-0.5145,-0.2415
A14d-22,-0.5754999999999999,-0.2225
A14d-23,-0.5085,-0.2235
A14d-24,-1.277,-0.292
A14d-26,-0.1485,-0.021
A14d-28,-1.0495,-0.3365
A14e-05,-0.1315,-0.0365
A14e-06,-0.815,-0.298
A14f-03,-0.886,-0.4585
A14f-04,-0.5745,-0.2885
A14f-05,-0.008,-0.001
A14f-07,-0.6125,-0.243
A14f-09,-0.9755,-0.4285
A14f-11,-0.3815,-0.115
A14f-12,-0.383,-0.143
A14f-13,0,0
A14f-15,0,0
A14f-16,-0.1545,-0.049
A14f-18,0,0
A14g-03,-0.4095,-0.117
A14g-05,0,0
A14g-07,-0.0475,-0.01
A14g-08,-0.391,-0.138
A14g-09,-0.332,-0.115
A14g-10,-0.454,-0.134
A14g-11,0,0
A14g-12,-0.4895,-0.152
A14g-13,0,0
A14g-14,0,0
A14g-15,-0.917,-0.395
A14g-18,0,0
A14g-19,0,0
A14g-20,0,0
A14h-01,-0.635,-0.26
A14h-02,-0.4355,-0.119
A14h-03,-0.118,-0.026
A14h-04,0,0
A14h-05,0,0
A14h-07,0,0
A14h-08,-0.008,-0.006
A14h-09,-1.015,-0.4275
A14i-02,-0.5045,-0.1365
A14i-03,0,0
A14i-04,-0.315,-0.097
A14i-05,-0.2125,-0.066
A14i-06,-0.022,-0.008
A14i-09,-0.877,-0.3415
A14j-01,-0.711,-0.2945
A14j-03,-1.1404999999999998,-0.702
A14j-04,-0.8085,-0.355
A14j-05,0,0
A14j-06,-0.4095,-0.156
A14j-08,-0.7655000000000001,-0.377
A14j-09,-0.563,-0.232
A14j-10,-0.276,-0.081
A14j-11,-0.344,-0.104
A14k-01,-0.027,-0.0
A14k-02,-0.2815,-0.1045
A14k-04,-0.022,-0.003
A14l-03,-0.292,-0.067
A14l-04,-0.2015,-0.048
A14l-06,-0.4925,-0.16
A14l-07,-0.21,-0.051
A14l-10,-0.314,-0.08549999999999999
A14l-11,-0.36050000000000004,-0.099
A14l-12,-0.615,-0.31
A14l-13,-0.4285,-0.163
A14l-14,-0.525,-0.235
A14l-16,0,0
A14l-18,-0.5425,-0.25
A14l-20,-0.3385,-0.0805
A14l-22,-0.533,-0.1985
A14m-04,-0.159,-0.051
A14m-05,-0.3135,-0.0925
A14m-06,-0.957,-0.386
A14m-08,0,0
A14m-10,0,0
A14m-11,0,0
A14-02,-0.367,-0.135
A14-03,-0.518,-0.2455
A14-04,0,0
A14-06,-0.1655,-0.0445
A14-07,0,0
A14-08,-0.265,-0.0955
A14-10,-0.433,-0.16
A14-11,-0.244,-0.081
A14-12,0,0
A14o-01,0,0
A14p-03,-0.427,-0.1465
A14p-05,-0.4135,-0.152
A14p-07,-0.07050000000000001,-0.019
A15b-02,-0.493,-0.2275
A15b-05,-0.3475,-0.1195
A15b-06,-0.839,-0.459
A22-02,0,0
A50d-01,-0.4455,-0.1905
A50h-01,-0.2185,-0.057999999999999996
A50h-05,-0.1265,-0.038
A50h-06,-0.037,-0.009
A50i-01,-0.025,0
A50i-02,-0.049,-0.016
A50i-04,-0.228,-0.043
A50i-07,-0.561,-0.226
A50i-08,-0.7084999999999999,-0.2425
A50i-10,-1.652,-0.705
A50i-11,-0.38,-0.164
A50i-14,-0.3335,-0.129
A50i-15,-0.235,-0.07
