SGI,med_10m,med_20m
A10f-01,-0.563,-0.089
A10g-02,-0.8805000000000001,-0.476
A10g-07,-0.9415,-0.498
A10g-09,-1.133,-0.556
A10g-11,0,0
A10g-12,-0.7615000000000001,-0.406
A10g-14,0,0
A10g-15,-0.3875,-0.1035
A10g-18,-0.663,-0.152
A10g-21,0,0
A10g-24,0,0
A12d-03,-1.2614999999999998,-0.6715
A12d-05,-2.2165,-1.2345000000000002
A12d-08,-1.2955,-0.519
A12d-10,-1.68,-0.998
A12e-05,0,0
A12e-07,-1.1185,-0.503
A12e-09,-1.622,-0.773
A12f-01,-1.0995,-0.4995
A12g-04,-1.1829999999999998,-0.585
A12g-06,-1.4325,-0.3395
A12i-03,-1.4825,-0.741
A12i-04,-0.7304999999999999,-0.2655
A12l-02,0,0
A12l-03,-0.9744999999999999,-0.42
A12l-04,0,0
A13b-03,-0.8055000000000001,-0.409
A13c-01,0,0
A13e-03,-0.75,-0.34
A13g-05,-0.804,-0.226
A13g-07,-1.3675000000000002,-0.6765000000000001
A13g-08,-0.08,0
A13g-10,0,0
A13h-01,0,0
A13h-02,-0.8425,-0.4435
A13i-01,-0.583,-0.262
A13i-02,0,0
A13i-04,-0.656,-0.277
A13i-05,-0.2515,-0.056
A13j-02,-0.8645,-0.485
A13j-03,-1.2235,-0.2365
A13k-03,-0.355,-0.105
A13l-02,-1.397,-0.667
A13l-04,0,0
A13-01,-0.2435,0
A13-02,-0.231,0
A13o-01,-0.6255,-0.3105
A13o-03,-0.6635,-0.305
A14c-03,0,0
A14d-01,0,0
A14d-03,0,0
A14d-04,-0.52,-0.257
A14d-05,-0.3815,-0.13
A14d-06,-0.5565,-0.1485
A14d-08,-0.6145,-0.2875
A14d-15,-0.592,-0.246
A14d-17,0,0
A14d-19,-0.6555,-0.327
A14d-21,-0.4775,-0.2505
A14d-22,-0.638,-0.3125
A14d-23,-0.2555,-0.0875
A14d-24,-1.1505,0
A14d-26,-0.023,0
A14d-28,-0.375,0
A14e-05,-0.584,-0.22
A14e-06,-0.9355,-0.113
A14f-03,-0.752,-0.3365
A14f-04,-0.561,-0.2185
A14f-05,-0.008,0
A14f-07,-0.4915,-0.187
A14f-09,-0.844,-0.37
A14f-11,-0.6455,-0.2465
A14f-12,-0.404,-0.158
A14f-13,0,0
A14f-15,0,0
