SGI,med_10m,med_20m
A10f-01,-0.611,-0.1805
A10g-02,-0.245,-0.0995
A10g-07,-0.012,0
A10g-09,-0.406,-0.199
A10g-11,0,0
A10g-12,-0.0475,-0.0165
A10g-14,0,0
A10g-15,-0.577,-0.2875
A10g-18,-0.715,-0.305
A10g-21,0,0
A10g-24,0,0
A12d-03,-0.583,-0.232
A12d-05,-0.012,0
A12d-08,-0.5945,-0.1135
A12d-10,-0.1265,-0.036
A12e-05,0,0
A12e-07,-0.6114999999999999,-0.1935
A12e-09,-0.2085,0
A12f-01,-0.3735,-0.103
A12g-04,-0.165,-0.033
A12g-06,-1.789,-0.7935000000000001
A12i-03,-0.912,-0.3945
A12i-04,-0.042499999999999996,-0.016
A12l-02,0,0
A12l-03,0,0
A12l-04,0,0
A13b-03,-0.2015,-0.044
A13c-01,0,0
A13e-03,-0.0395,-0.012
A13g-05,-0.041,-0.011
A13g-07,-0.1615,-0.042499999999999996
A13g-08,-1.6145,-0.7915000000000001
A13g-10,0,0
A13h-01,-0.0,0
A13h-02,-0.0,-0.0
A13i-01,-0.664,-0.3015
A13i-02,0,0
A13i-04,-0.0025,-0.004
A13i-05,-0.0095,-0.004
A13j-02,-0.135,-0.027
A13j-03,-0.032,-0.009
A13k-03,-0.1895,-0.06
A13l-02,-0.2075,-0.067
A13l-04,0,0
A13-01,-0.0,-0.0
A13-02,-0.004,-0.002
A13o-01,-0.151,-0.0415
A13o-03,-0.005,0
A14c-03,0,0
A14d-01,0,0
A14d-03,0,0
A14d-04,-0.0565,0
A14d-05,0,0
A14d-06,-0.083,-0.017
A14d-08,-0.0,-0.0
A14d-15,-0.0,-0.0
A14d-17,0,0
A14d-19,-0.002,-0.001
A14d-21,-0.277,-0.0845
A14d-22,-0.3085,0
A14d-23,-0.0735,-0.0175
A14d-24,-1.717,-0.752
A14d-26,-0.16849999999999998,-0.04
A14d-28,-0.265,-0.043
A14e-05,-0.005,-0.003
A14e-06,-0.0265,-0.005
A14f-03,-0.813,-0.379
A14f-04,0,0
A14f-05,-0.094,-0.018
A14f-07,-0.23900000000000002,-0.026
A14f-09,-0.546,-0.172
A14f-11,-0.0335,-0.014
A14f-12,-0.005,-0.003
A14f-13,0,0
A14f-15,0,0
A14f-16,-0.0165,-0.007
A14f-18,0,0
A14g-03,-0.008,-0.004
A14g-05,0,0
A14g-07,-0.008,-0.003
A14g-08,-0.0,-0.0
A14g-09,-0.024,-0.0085
A14g-10,-0.001,-0.001
A14g-11,0,0
A14g-12,-0.14850000000000002,-0.017
A14g-13,0,0
A14g-14,0,0
A14g-15,-0.4835,-0.1445
A14g-18,0,0
A14g-19,0,0
A14g-20,0,0
A14h-01,-0.1755,-0.023
A14h-02,-0.012,-0.006
A14h-03,-0.0,0
A14h-04,0,0
A14h-05,0,0
A14h-07,0,0
A14h-08,-0.002,-0.0085
A14h-09,-1.9405000000000001,-1.1920000000000002
A14i-02,-0.296,-0.07
A14i-03,0,0
A14i-04,-0.002,-0.001
A14i-05,-0.001,-0.0
A14i-06,-0.4045,0
A14i-09,-1.0045,-0.4275
A14j-01,-0.096,-0.009
A14j-03,-0.0205,-0.009
A14j-04,-0.031,-0.0075
A14j-05,0,0
A14j-06,-0.042499999999999996,0
A14j-08,-0.001,-0.001
A14j-09,-0.1705,-0.043
A14j-10,-0.0325,-0.004
A14j-11,-0.004,0
A14k-01,-0.031,-0.005
A14k-02,-0.293,0
A14k-04,-0.1215,-0.035
A14l-03,-0.002,-0.001
A14l-04,-0.0,-0.0
A14l-06,-0.01,-0.006
A14l-07,-0.068,-0.008
A14l-10,-0.002,-0.001
A14l-11,-0.1215,-0.01
A14l-12,-0.001,-0.0
A14l-13,-0.0,-0.0
A14l-14,-0.008,-0.005
A14l-16,0,0
A14l-18,-0.0205,-0.005
A14l-20,-0.0,-0.0
A14l-22,-0.0,-0.0
A14m-04,-0.0195,-0.008
A14m-05,-0.0,-0.0
A14m-06,-0.001,-0.001
A14m-08,0,0
A14m-10,0,0
A14m-11,0,0
A14-02,-0.3085,-0.091
A14-03,-0.1755,-0.043
A14-04,0,0
A14-06,-0.0,0
A14-07,0,0
A14-08,-0.0075,-0.003
A14-10,-0.004,-0.002
A14-11,-0.01,-0.005
A14-12,0,0
A14o-01,0,0
A14p-03,-0.004,-0.003
A14p-05,-0.26,-0.082
A14p-07,-0.001,-0.002
A15b-02,-0.0,-0.0
A15b-05,-0.0,-0.0
A15b-06,-0.446,-0.165
A22-02,0,0
A50d-01,-0.028,-0.005
A50h-01,-0.0465,0
A50h-05,-0.0,-0.0
A50h-06,-0.0,-0.0
A50i-01,-0.0,0
A50i-02,-0.0,-0.0
A50i-04,-0.044,-0.004
A50i-07,-0.347,-0.1015
A50i-08,-0.537,0
A50i-10,-1.0779999999999998,-0.397
A50i-11,-0.1285,-0.0535
A50i-14,-0.002,-0.001
A50i-15,-0.0,-0.0
A50i-16,-0.0,-0.0
A50i-17,-0.0485,-0.018
A50i-18,0,0
A50i-20,-0.2095,-0.055
A50i-21,-0.223,-0.06
A50i-22,-0.001,-0.0
A50i-24,0,0
A50j-02,-0.411,-0.1395
A50j-03,-0.0,-0.0
A50j-04,-0.008,-0.005
A50j-05,-1.2155,-0.4815
A50j-09,-0.138,-0.0365
A50j-10,-0.002,-0.001
A50j-11,0,0
A50j-12,-0.0,-0.0
A50j-13,0.0,0.0
A50k-05,0,0
A51b-01,-0.0,-0.0
A51c-01,0,0
A51c-02,-0.0,-0.0
A51c-05,-0.079,-0.014
A51c-06,-0.0,0
A51c-07,-0.001,0
A51c-08,0,0
A51c-09,-0.001,-0.0
A51d-03,-0.017,-0.006
A51d-04,0,0
A51d-05,-0.0,-0.0
A51d-06,0,0
A51d-07,0,0
A51d-08,-0.0,-0.0
A51d-11,-0.0,-0.0
A51d-13,-0.2935,-0.0675
A51d-14,0,0
A51d-16,-0.116,-0.018
A51d-18,-0.0325,-0.014
A51d-19,-0.0,-0.0
A51d-19,0,0
A51d-20,-0.0295,-0.01
A51d-21,-0.018,-0.005
