AH5TT,distance (cm),depth 210824 (m),depth 211024 (m),depth 050825 (m),depth 160925 (m)
white probe,1200,10,10.57688113,10.53762268,9.398037077
black probe,1700,15,15.57688113,15.53762268,14.39803708
total length,1700,,,,
Logger,,,,,
,,,,,
date,cummulative melt (m ice),borehole depth [m],depth black probe [m],depth white probe [m],
21/08/2024,0,15,15,10,
21/10/2024,0.576881134,15.57688113,15.57688113,10.57688113,
05/08/2025,-0.039258451,15.53762268,15.53762268,10.53762268,
16/09/2025,-1.139585605,14.39803708,14.39803708,9.398037077,
,,,,,
*previous borehole 10 at Alphubel,,,,,
