CH6TT,distance (cm),depth 090824 (m),depth 290924 (m), depth 08082025 (m),,,,
white probe,1200,8.5,7.273173391,5.545801527,,,,
black probe,1700,13.5,12.27317339,10.54580153,,,,
total length,1700,,,,,,,
Logger,#14,,,,,,,
,,,,,,,,
date,cummulative melt (m ice),borehole depth (m),depth black probe (m),depth white probe (m),,,,
09/08/2024,0,13.5,13.5,8.5,,,,
29/09/2024,-1.226826609,12.27317339,12.27317339,7.273173391,,,,
08/08/2025,-1.727371865,10.54580153,10.54580153,5.545801527,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
*previous borehole 8,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
