CJ1G,distance (cm),cum distance (cm),distance till bottom (cm),approx. depth (m),depth 08082025 (m),,,
#1,1300,1300,2700,1,11.3,,,
#2,300,1600,2400,4,14.3,,,
#3,300,1900,2100,7,17.3,,,
#4,300,2200,1800,10,20.3,,,
#5,300,2500,1500,13,23.3,,,
#6,300,2800,1200,16,26.3,,,
#7,300,3100,900,19,29.3,,,
#8,300,3400,600,22,32.3,,,
#9,300,3700,300,25,35.3,,,
#10,300,4000,0,28,38.3,,,
total length,4000,,,,,,,
ice thickness gpr,2800,,,,,,,
Logger,A55201,,,,,,,
,,,,,,,,
date,08/08/2025,,,,,,,
ice thickness (measured),3830,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
