HL1,distance (cm),cum distance (cm),distance till bottom (cm),approx. depth (m),depth 13082025 (m),,
#1,800,800,2700,3,2,,
#2,300,1100,2400,6,5,,
#3,300,1400,2100,9,8,,
#4,300,1700,1800,12,11,,
#5,300,2000,1500,15,14,,
#6,300,2300,1200,18,17,,
#7,300,2600,900,21,20,,
#8,300,2900,600,24,23,,
#9,300,3200,300,27,26,,
#10,300,3500,0,30,29,,
total length,3500,,,,,,
ice thickness gpr,3000,,,,,,
Logger,A551FE,,,,,,
,,,,,,,
date,13/08/2025,,,,,,
ice thickness (measured),2900,,,,,,
,,,,,,,
