"Daten bitte folgendermassen zitieren: GLAMOS 1881-2023, The Swiss Glaciers 1880-2022/23, Glaciological Reports No 1-142, Yearbooks of the Cryospheric Commission of the Swiss Academy of Sciences (SCNAT), published since 1964 by VAW / ETH Zurich, doi:10.18752/glrep_series."
Kumulative Massenbilanz (mm w.e.)
Glacier name,Glacier ID,Start date of observation,End date of observation,Value
Glacier du Sex Rouge,B16-01,2011-09-26,2012-09-25,-1288
Glacier du Sex Rouge,B16-01,2012-09-25,2013-09-14,-1991
Glacier du Sex Rouge,B16-01,2013-09-14,2014-09-22,-2604
Glacier du Sex Rouge,B16-01,2014-09-22,2015-09-20,-4817
Glacier du Sex Rouge,B16-01,2015-09-20,2016-09-14,-4961
Glacier du Sex Rouge,B16-01,2016-09-14,2017-09-08,-7502
Glacier du Sex Rouge,B16-01,2017-09-08,2018-09-13,-9160
Glacier du Sex Rouge,B16-01,2018-09-13,2019-09-15,-11050
Glacier du Sex Rouge,B16-01,2019-09-15,2020-09-19,-12861
Glacier du Sex Rouge,B16-01,2020-09-19,2021-09-12,-13340
Glacier du Sex Rouge,B16-01,2021-09-12,2022-09-11,-17351
Glacier du Sex Rouge,B16-01,2022-09-11,2023-09-17,-19326
Glacier du Sex Rouge,B16-01,2023-09-17,2024-10-19,-21330
Glacier du Sex Rouge,B16-01,2024-10-19,2025-09-19,-23994
