<FG2 'FG2-SHELL V4.04a' (Mai 11 2023) NOW(UTC):12.06.2024 15:26:23>
<FILE: C:\FG2_Shell_V3\data/A5389E/raw/A5389E_20240612162616.f2b>
<LOGGER: $A5389E>
<FILESIZE: 28185 Bytes>
<MEMORY CLEAR>
<ERROR: PARAMETER SET NOT FOUND(1): C:\FG2_Shell_V3\data/A5389E/par/A5389E_20231011085432.f2p (Line 0)>
<PERIOD: 86400 sec>
<TIME: 07.02.2024 09:23:04>
<HK-BATUSED: 49,2 % (CALC)>
NO;TIME;#1:(unk.);#2:(unk.);#3:(unk.);#4:(unk.);#5:(unk.);#6:(unk.);#7:(unk.);#8:(unk.);#9:(unk.);#10:(unk.);#11:(unk.);#12:(unk.);#13:(unk.);#14:(unk.);#15:(unk.);#16:(unk.);#17:(unk.);#18:(unk.);#19:(unk.);#20:(unk.);HK-TEMP:oC;HK-BAT:V
1;07.02.2024 09:23:04;15,1332;15,094;15,2352;15,3607;15,4706;15,4313;15,0862;14,992;15,3999;15,2823;14,9528;15,0391;15,3921;15,0234;14,8665;15,1725;15,4156;15,2744;14,8822;15,6039;9,44;3,625
<NEW PAR>
<ERROR: PARAMETER SET NOT FOUND(1): C:\FG2_Shell_V3\data/A5389E/par/A5389E_20240207092344.f2p (Line 1)>
<PERIOD: 1800 sec>
<TIME: 07.02.2024 09:24:12>
<HK-BATUSED: 49,2 % (CALC)>
NO;TIME;#1:(unk.);#2:(unk.);#3:(unk.);#4:(unk.);#5:(unk.);#6:(unk.);#7:(unk.);#8:(unk.);#9:(unk.);#10:(unk.);#11:(unk.);#12:(unk.);#13:(unk.);#14:(unk.);#15:(unk.);#16:(unk.);#17:(unk.);#18:(unk.);#19:(unk.);#20:(unk.);HK-TEMP:oC;HK-BAT:V
2;07.02.2024 09:24:12;15,1411;15,094;15,2352;15,3607;15,4706;15,4313;15,094;14,992;15,3999;15,2823;14,9607;15,0312;15,3842;15,0234;14,8665;15,1646;15,4156;15,2744;14,8822;15,5882;9,87;3,626
<TIME: 07.02.2024 09:30:00>
3;07.02.2024 09:30:00;15,1411;15,094;15,2352;15,345;15,4627;15,4313;15,1097;14,992;15,3764;15,2823;14,9685;15,0234;15,3764;15,0391;14,8744;15,1489;15,3999;15,2823;14,8901;15,5333;9,87;3,630
4;07.02.2024 10:00:00;14,8273;14,9136;14,9999;15,2352;15,3293;15,3764;14,9607;14,9763;15,2117;15,2352;14,3019;14,9371;15,1725;14,8744;14,8273;15,1019;15,3058;15,2117;14,8744;15,2038
5;07.02.2024 10:30:00;14,8195;14,8665;14,9293;15,1803;15,2352;15,2195;14,7803;14,8822;15,1176;15,1097;14,5685;14,8665;15,1646;14,7332;14,694;15,0626;15,2038;15,0312;14,7254;15,2352
6;07.02.2024 11:00:00;15,9334;16,0119;16,0903;16,059;15,9883;15,9491;15,8393;15,957;16,0668;15,7294;15,8;16,2159;15,9491;15,6431;15,8;16,2159;15,8236;15,7922;15,9334;16,31
7;07.02.2024 11:30:00;14,4587;14,6077;14,9528;15,094;14,9293;14,5999;14,5999;14,7254;14,8665;14,3254;13,9176;14,9058;14,8979;14,3333;14,247;15,2038;14,843;14,6077;14,4822;15,2587
8;07.02.2024 12:00:00;11,9893;12,389;12,8906;13,1415;13,0552;12,3576;12,3498;12,6868;12,7809;11,9893;11,433;12,9142;13,3375;12,2636;12,3185;13,3766;13,7138;12,726;11,574;13,2747
9;07.02.2024 12:30:00;6,72737;6,38313;5,91377;6,31271;6,46136;6,14062;6,67261;6,35184;7,16554;4,82669;5,9529;7,369;7,43161;6,22667;6,50049;7,68987;6,75084;6,47702;5,52271;6,07022
10;07.02.2024 13:00:00;4,05266;3,93539;3,91975;3,8885;4,01357;4,10738;4,06049;3,95885;3,94322;3,94322;3,95102;3,90413;4,13866;4,31847;3,91194;3,92757;4,08392;4,3732;4,05266;3,81813
11;07.02.2024 13:30:00;3,84941;3,84158;3,85722;3,81032;3,85722;3,96666;3,87285;3,84158;3,83376;3,8885;3,77905;3,83376;3,85722;3,9823;3,81032;3,80249;3,84158;4,13083;3,94322;3,77905
12;07.02.2024 14:00:00;5,90594;5,85902;6,95427;7,11076;6,44572;6,14062;5,60091;6,32837;7,55682;6,28926;5,94507;5,7417;6,32837;5,84338;6,19537;6,80562;5,99199;5,80428;5,87466;7,0247
13;07.02.2024 14:30:00;7,07947;7,20467;8,08121;8,47258;7,94032;7,79944;7,1812;7,75247;8,48041;7,96379;7,11076;8,33168;7,76813;7,4003;7,77596;7,67421;7,42378;7,52551;7,44727;9,1537;0,42;3,625
14;07.02.2024 15:00:00;8,8327;9,09106;9,19286;9,25549;8,84836;9,25549;10,3676;9,4904;9,11456;9,31815;8,84053;9,70966;8,80138;9,42776;9,49823;8,61349;8,5352;9,99159;10,4772;11,4173
15;07.02.2024 15:30:00;10,1482;10,3362;10,3911;10,3127;10,0307;10,72;10,9785;10,5947;10,1404;10,7513;10,1482;10,767;10,0699;10,7592;10,7278;9,86629;9,88979;11,0804;11,2057;13,0239
16;07.02.2024 16:00:00;10,8689;10,9237;10,8376;11,0726;10,8062;11,4251;11,5897;11,0099;10,7984;11,3625;10,9081;11,5348;10,8846;11,7464;11,3311;10,6965;10,6025;11,8953;11,9814;14,145
17;07.02.2024 16:30:00;11,5583;11,4878;11,4095;11,5662;11,3703;12,0442;12,1225;11,5348;11,2684;11,9188;11,6053;11,8247;11,433;12,5849;11,9423;11,2449;11,2214;12,5849;12,7025;14,5293
18;07.02.2024 17:00:00;12,0912;11,9814;11,9423;12,005;11,8247;12,483;12,5144;12,0128;11,6915;12,3498;12,146;12,1068;11,8796;12,9768;12,4047;11,6837;11,6758;12,9533;13,0631;14,6783
19;07.02.2024 17:30:00;12,483;12,3498;12,3655;12,3655;12,1852;12,8044;12,8122;12,389;12,0442;12,679;12,5301;12,3655;12,2244;13,2512;12,7652;12,0363;12,0285;13,2198;13,3531;14,796
20;07.02.2024 18:00:00;12,8201;12,6711;12,7339;12,6868;12,5144;13,0866;13,0788;12,7182;12,3733;12,9612;12,8593;12,6084;12,5222;13,5256;13,0866;12,3576;12,3263;13,4786;13,6275;14,992
21;07.02.2024 18:30:00;13,0709;12,9298;13,0239;12,9533;12,7809;13,2982;13,2747;12,9847;12,6476;13,1807;13,1101;12,8044;12,7809;13,6667;13,3061;12,6241;12,5849;13,6354;13,7765;14,9999
22;07.02.2024 19:00:00;13,2826;13,1493;13,2826;13,1964;13,0082;13,4943;13,4472;13,2198;12,9063;13,3688;13,3218;13,0004;13,0004;13,8549;13,5334;12,8671;12,8201;13,8157;13,9882;15,1568
23;07.02.2024 19:30:00;13,4707;13,3375;13,5099;13,4237;13,2355;13,6746;13,604;13,4237;13,1415;13,5648;13,5099;13,1807;13,2198;13,9882;13,6981;13,0944;13,0317;13,9568;14,098;15,1803;8,70;3,654
24;07.02.2024 20:00:00;13,6197;13,4943;13,6824;13,604;13,4158;13,8079;13,7216;13,5805;13,3296;13,7059;13,6511;13,3218;13,4002;14,0431;13,8157;13,2747;13,2198;14,0274;14,145;15,1332
25;07.02.2024 20:30:00;13,7843;13,6589;13,8628;13,7765;13,5962;13,9647;13,8706;13,7608;13,5178;13,8628;13,8235;13,5021;13,5727;14,2784;14,0274;13,4707;13,4002;14,2391;14,4038;15,4078
26;07.02.2024 21:00:00;13,9647;13,8314;14,0588;13,9647;13,7843;14,1529;14,0196;13,949;13,7216;14,0352;13,9961;13,6746;13,753;14,4352;14,2078;13,6667;13,5883;14,3803;14,5215;15,5333
27;07.02.2024 21:30:00;14,1137;13,9882;14,2391;14,145;13,9568;14,294;14,1529;14,1058;13,9098;14,1921;14,145;13,8235;13,9255;14,5371;14,3489;13,8392;13,753;14,4901;14,6156;15,6902
28;07.02.2024 22:00:00;14,2548;14,1372;14,4038;14,3176;14,1294;14,4273;14,2784;14,2627;14,0823;14,3333;14,2862;13,9647;14,0823;14,6469;14,4744;14,0039;13,9098;14,6077;14,7254;15,7451
29;07.02.2024 22:30:00;15,4862;15,2666;15,4391;14,9842;14,8979;15,0391;15,2195;15,094;14,9058;15,0626;15,5098;14,6626;14,7646;14,9842;15,1568;14,7881;14,6234;15,0862;15,1411;14,443
30;07.02.2024 23:00:00;15,6745;15,5255;15,6745;15,2587;15,1568;15,2117;15,4549;15,3921;15,2117;15,2195;15,6902;15,0156;15,0391;15,1097;15,4549;15,1489;14,8509;15,2117;15,3215;14,7097
31;07.02.2024 23:30:00;15,7373;15,6118;15,7451;15,3921;15,2823;15,3137;15,5333;15,5176;15,3529;15,3058;15,7373;15,1803;15,1881;15,1803;15,5647;15,3058;14,9842;15,2901;15,4156;14,8979
32;08.02.2024 00:00:00;15,8785;15,753;15,8628;15,5176;15,4078;15,4078;15,651;15,6274;15,4862;15,4078;15,8706;15,3137;15,2979;15,2666;15,6902;15,4391;15,0862;15,3764;15,5098;15,0391
33;08.02.2024 00:30:00;15,9334;15,8157;15,9334;15,6118;15,5019;15,5019;15,7216;15,7137;15,6039;15,4862;15,9334;15,4235;15,4078;15,3372;15,7686;15,549;15,1881;15,447;15,5882;15,1568;10,60;3,658
34;08.02.2024 01:00:00;15,9648;15,8549;15,9805;15,6745;15,5647;15,549;15,7608;15,7765;15,6667;15,5411;15,957;15,5019;15,4784;15,3842;15,8236;15,6274;15,2587;15,5019;15,6431;15,2509
35;08.02.2024 01:30:00;15,9648;15,8706;16,004;15,7059;15,5961;15,5882;15,7843;15,8157;15,7059;15,5725;15,957;15,5568;15,5255;15,4235;15,8549;15,6667;15,3058;15,5333;15,6667;15,3137
36;08.02.2024 02:00:00;15,9491;15,8706;15,9883;15,7216;15,6039;15,5961;15,7843;15,8157;15,7137;15,5804;15,9413;15,5804;15,5411;15,4313;15,8471;15,6823;15,3293;15,5411;15,6823;15,3529
37;08.02.2024 02:30:00;15,9491;15,8549;15,9883;15,7216;15,6118;15,5961;15,7843;15,8236;15,7137;15,5804;15,9334;15,5961;15,549;15,4391;15,8471;15,6902;15,345;15,549;15,6823;15,3764
38;08.02.2024 03:00:00;15,9491;15,8706;15,9962;15,7373;15,6353;15,6118;15,7843;15,8314;15,7294;15,5961;15,9334;15,6118;15,5647;15,4549;15,8549;15,7059;15,3607;15,5647;15,698;15,3999
39;08.02.2024 03:30:00;15,9413;15,8706;15,9883;15,7451;15,6431;15,6274;15,7922;15,8393;15,7451;15,6039;15,9177;15,6274;15,5804;15,4549;15,8628;15,7137;15,3764;15,5725;15,698;15,4156
40;08.02.2024 04:00:00;15,9256;15,8549;15,9726;15,7373;15,6353;15,6196;15,7843;15,8314;15,7451;15,5961;15,902;15,6274;15,5882;15,4549;15,8471;15,7137;15,3842;15,5725;15,6902;15,4313
41;08.02.2024 04:30:00;15,9256;15,8549;15,9726;15,7451;15,6431;15,6274;15,7843;15,8236;15,7451;15,5961;15,9099;15,6274;15,5882;15,4549;15,8471;15,7137;15,3842;15,5725;15,698;15,4391
42;08.02.2024 05:00:00;15,957;15,8785;15,9962;15,7608;15,6667;15,6431;15,8;15,8471;15,753;15,6118;15,9491;15,6431;15,5882;15,4706;15,8628;15,7294;15,3999;15,5882;15,7137;15,447
43;08.02.2024 05:30:00;15,957;15,8864;16,004;15,7765;15,6745;15,651;15,8079;15,8471;15,7686;15,6274;15,9334;15,651;15,6196;15,4862;15,8706;15,7373;15,4235;15,6039;15,7137;15,4627;10,48;3,656
44;08.02.2024 06:00:00;15,9334;15,8706;15,9805;15,7686;15,6667;15,6588;15,8;15,8471;15,7608;15,6274;15,9099;15,651;15,6196;15,4862;15,8628;15,7373;15,4235;15,6118;15,7137;15,4627
45;08.02.2024 06:30:00;15,902;15,8393;15,957;15,7451;15,6588;15,6431;15,7765;15,8314;15,7451;15,6196;15,8785;15,6431;15,6039;15,4784;15,8393;15,7216;15,4156;15,6039;15,698;15,4627
46;08.02.2024 07:00:00;15,9099;15,8393;15,957;15,7451;15,651;15,6353;15,7686;15,8314;15,7451;15,6118;15,8864;15,6431;15,5961;15,4706;15,8393;15,7137;15,4156;15,5961;15,698;15,4627
47;08.02.2024 07:30:00;16,1139;16,365;16,5847;16,6004;16,5298;16,2943;16,208;16,6239;16,6631;16,2473;16,0903;16,8201;16,4591;16,0433;16,5376;16,7416;16,3885;16,1923;16,4277;16,004
48;08.02.2024 08:00:00;16,31;16,5768;16,7495;16,8123;16,7809;16,6317;16,4591;16,8593;16,9378;16,5847;16,3022;17,0556;16,7966;16,3179;16,773;17,0085;16,7181;16,4984;16,6631;16,208
49;08.02.2024 08:30:00;16,3257;16,5219;16,6945;16,7652;16,7259;16,5925;16,4356;16,773;16,8515;16,5376;16,2629;16,8751;16,7259;16,31;16,671;16,8515;16,6317;16,4748;16,5925;16,2002
50;08.02.2024 09:00:00;16,2473;16,3964;16,5768;16,6317;16,5768;16,4748;16,3336;16,6161;16,6945;16,412;16,1766;16,7024;16,5768;16,2316;16,5219;16,671;16,467;16,3885;16,4591;16,1296
51;08.02.2024 09:30:00;16,1766;16,3179;16,4905;16,5454;16,5062;16,365;16,2394;16,5298;16,6004;16,31;16,106;16,6161;16,4748;16,1531;16,4356;16,5847;16,3964;16,3022;16,3806;16,0276
52;08.02.2024 10:00:00;16,1845;16,3493;16,5062;16,5847;16,569;16,4591;16,2708;16,5533;16,6475;16,4199;16,1453;16,6867;16,5611;16,2002;16,4591;16,6631;16,4905;16,3493;16,4199;16,0433
53;08.02.2024 10:30:00;16,2865;16,4591;16,6161;16,6945;16,6945;16,6004;16,3885;16,6945;16,7887;16,5611;16,2551;16,8437;16,7181;16,3179;16,6082;16,8123;16,6396;16,4827;16,5533;16,1296;10,73;3,657
54;08.02.2024 11:00:00;16,3728;16,5847;16,7181;16,8123;16,7966;16,7024;16,4984;16,828;16,9143;16,6475;16,3414;16,9928;16,8437;16,4042;16,7338;16,9614;16,7495;16,5768;16,671;16,1845
55;08.02.2024 11:30:00;16,4748;16,7102;16,8593;16,9536;16,93;16,8358;16,6161;16,9849;17,0713;16,7809;16,4434;17,1812;16,9928;16,5219;16,8907;17,134;16,8986;16,6945;16,8123;16,2629
56;08.02.2024 12:00:00;16,7024;16,9614;17,0948;17,2125;17,2204;17,1968;16,8672;17,2596;17,3617;17,1497;16,671;17,4637;17,3538;16,8201;17,1576;17,4245;17,2361;17,0242;17,1026;16,4748
57;08.02.2024 12:30:00;16,8201;17,0713;17,1968;17,3146;17,3224;17,2439;16,9849;17,3617;17,4558;17,1812;16,7652;17,5579;17,4166;16,8986;17,2596;17,5344;17,3146;17,0791;17,189;16,569
