<FG2 'FG2-SHELL V4.04a' (Mai 11 2023) NOW(UTC):12.06.2024 15:27:04>
<FILE: C:\FG2_Shell_V3\data/A53964/raw/A53964_20240612162658.f2b>
<LOGGER: $A53964>
<FILESIZE: 21325 Bytes>
<MEMORY CLEAR>
<PARAMETER_SET: C:\FG2_Shell_V3\data/A53964/par/A53964_20240413112819.f2p>
<PERIOD: 86400 sec>
<TIME: 17.04.2024 11:03:20>
<HK-BATUSED: 57,3 % (CALC)>
NO;TIME;#1:oC:4A28;#2:oC:49B0;#3:oC:49F7;#4:oC:49CD;#5:oC:49B7;#6:oC:4A9F;#7:oC:491A;#8:oC:4999;#9:oC:4A45;#10:oC:49C3;#11:oC:4A4E;#12:oC:49D0;#13:oC:48FA;#14:oC:49F0;#15:oC:49E1;#16:oC:48C3;#17:oC:4896;#18:oC:49AC;#19:oC:499A;#20:oC:49B5;#21:oC:48C0;#22:oC:4898;#23:oC:48CB;#24:oC:4986;#25:oC:48C8;#26:oC:4962;#27:oC:4992;#28:oC:48F2;#29:oC:4893;#30:oC:48A8;#31:oC:48E1;#32:oC:49EC;#33:oC:48D5;#34:oC:48CF;#35:oC:496F;#36:oC:48C9;#37:oC:4952;#38:oC:48D9;#39:oC:49BD;#40:oC:48F7;HK-TEMP:oC;HK-BAT:V
1;17.04.2024 11:03:20;22,829;23,7392;22,735;23,0955;22,8806;23,1577;22,9788;22,8639;23,0309;22,7797;22,4722;22,839;22,8049;22,5485;22,8367;22,5305;22,6075;22,7796;23,8009;22,5638;22,5293;22,7311;22,9913;22,6209;22,7077;22,8669;22,9792;22,5637;22,7226;22,516;22,564;22,5266;23,7522;22,5502;22,7881;22,5869;22,8731;22,6311;23,0942;22,7946;12,75;3,590
<TIME: 18.04.2024 00:00:00>
2;18.04.2024 00:00:00;21,479;21,5672;21,463;21,5895;21,5086;21,6597;21,5908;21,2789;21,7049;21,3107;21,6212;21,263;21,6879;21,2185;21,6667;21,3955;21,6055;21,4106;21,5799;21,4198;21,5623;21,4611;21,6223;21,3909;21,5477;21,3889;21,5152;21,3417;21,5616;21,385;21,584;21,2556;21,5592;21,4662;21,5091;21,4509;21,5581;21,4491;21,6022;21,4076;11,77;3,625
3;19.04.2024 00:00:00;24,233;24,3972;24,269;24,3705;24,2836;24,4067;24,3338;24,1249;24,3749;24,1667;24,3062;24,13;24,4359;24,0025;24,3977;24,1605;24,3115;24,1366;24,3129;24,1988;24,3303;24,2001;24,3753;24,1149;24,2847;24,0129;24,2312;24,0947;24,3226;24,162;24,288;24,0346;24,2852;24,1752;24,2721;24,1709;24,3241;24,1831;24,4302;24,1426
4;20.04.2024 00:00:00;24,348;24,0032;24,377;24,3015;24,3946;24,3047;24,3488;24,1859;24,4199;24,0467;24,2882;24,211;24,3439;24,2225;24,2427;24,2985;24,2135;24,3506;24,1249;24,3448;24,2353;24,3771;24,1543;24,3149;24,1917;24,3329;24,0862;24,2627;24,2296;24,315;24,169;24,2176;24,0572;24,3562;24,1241;24,3179;24,1851;24,3141;24,2962;24,3726
5;21.04.2024 00:00:00;24,62;24,6412;24,631;24,7195;24,6576;24,7367;24,6778;24,5059;24,6609;24,5677;24,6092;24,599;24,7559;24,4905;24,7247;24,5785;24,6545;24,6046;24,6369;24,6118;24,6683;24,6351;24,6883;24,5549;24,6327;24,5399;24,5692;24,5267;24,6656;24,579;24,631;24,4776;24,5922;24,6022;24,6021;24,5789;24,6561;24,5831;24,7642;24,5946
6;22.04.2024 00:00:00;24,456;24,2802;24,482;24,4575;24,5116;24,5447;24,4498;24,2879;24,5469;24,3047;24,4692;24,43;24,5629;24,3905;24,4707;24,4265;24,3915;24,4986;24,3519;24,4598;24,4043;24,5251;24,3703;24,4439;24,3717;24,4969;24,2742;24,3927;24,3696;24,429;24,355;24,3436;24,3012;24,4732;24,2971;24,4409;24,3551;24,4351;24,4892;24,5296
7;23.04.2024 00:00:00;24,193;23,9242;24,258;23,9855;24,1456;24,1837;24,0708;23,9759;24,4439;23,5977;24,3562;23,675;24,2969;23,7895;24,1477;24,0895;24,0655;24,0096;24,0319;24,1138;24,0003;24,1141;24,0213;24,1909;23,9617;24,0259;23,9372;24,0757;23,9736;24,12;24,051;24,0186;23,9272;24,1862;23,9011;24,1779;23,9191;24,1721;24,0332;24,1026
8;24.04.2024 00:00:00;23,912;23,6032;23,944;23,6605;23,8286;23,8377;23,7508;23,6899;24,1189;23,3287;24,0272;23,39;23,9569;23,4905;23,8247;23,8085;23,7555;23,6966;23,7179;23,8108;23,6743;23,8011;23,7053;23,8899;23,6707;23,7109;23,6572;23,7797;23,6576;23,823;23,749;23,7266;23,6352;23,8802;23,6181;23,8739;23,6221;23,8741;23,7202;23,7856
9;25.04.2024 00:00:00;23,963;23,7212;24,009;23,7615;23,9146;23,9317;23,8448;23,7669;24,1699;23,4707;24,0762;23,526;24,0239;23,6015;23,9077;23,8725;23,8365;23,7946;23,8069;23,8868;23,7703;23,8871;23,8033;23,9549;23,7457;23,8029;23,7312;23,8537;23,7536;23,89;23,824;23,8006;23,7262;23,9502;23,7021;23,9419;23,7161;23,9351;23,8132;23,8666
10;26.04.2024 00:00:00;23,78;23,1862;23,732;23,3225;23,7236;23,3137;23,5548;23,6269;23,5479;23,4497;23,3242;23,644;23,2519;23,6785;23,2687;23,7765;23,3465;23,7276;23,1929;23,7288;23,1843;23,7461;23,1833;23,8309;23,3957;23,7639;23,3712;23,7637;23,2436;23,732;23,355;23,7546;23,2462;23,8182;23,3161;23,7749;23,2931;23,7411;23,2762;23,7526
11;27.04.2024 00:00:00;22,025;22,1892;21,96;22,1365;21,9506;22,2017;22,0038;21,8949;21,9959;22,0967;21,9772;21,962;22,1389;21,8005;22,1987;21,9135;22,1445;21,9076;22,1659;21,9328;22,1153;21,9391;22,1723;21,8489;22,0417;21,7779;22,1042;21,8707;22,0976;21,838;22,087;21,7846;22,1542;21,8672;22,0631;21,8559;22,1181;21,9421;22,1022;22,0836;12,69;3,623
12;28.04.2024 00:00:00;22,354;22,5022;22,298;22,4515;22,2906;22,5147;22,3378;22,2309;22,3439;22,4237;22,3112;22,302;22,4589;22,1515;22,5127;22,2615;22,4595;22,2526;22,4789;22,2748;22,4273;22,2861;22,4833;22,2119;22,3617;22,1459;22,4152;22,2197;22,4106;22,191;22,407;22,1456;22,4662;22,2242;22,3841;22,2149;22,4341;22,2841;22,4242;22,4016
