year,firn_cells
1970,0
1971,675
1972,675
1973,679
1974,679
1975,681
1976,681
1977,681
1978,681
1979,681
1980,681
1981,681
1982,681
1983,679
1984,679
1985,679
1986,679
1987,678
1988,678
1989,678
1990,678
1991,675
1992,675
1993,675
1994,677
1995,675
1996,675
1997,674
1998,670
1999,670
2000,664
2001,664
2002,673
2003,162
2004,162
2005,162
2006,162
2007,162
2008,664
2009,631
2010,555
2011,437
2012,425
2013,425
2014,473
2015,565
2016,353
2017,179
2018,178
2019,146
2020,146
2021,256
2022,104
2023,74
2024,74
2025,166
