year,firn_cells
1970,0
1971,1971
1972,1971
1973,1482
1974,1482
1975,2017
1976,2023
1977,2023
1978,2033
1979,2028
1980,2028
1981,2028
1982,2023
1983,2022
1984,2022
1985,2022
1986,2017
1987,2015
1988,2014
1989,2014
1990,2003
1991,1985
1992,1985
1993,1985
1994,1917
1995,1916
1996,1840
1997,1823
1998,1305
1999,1023
2000,963
2001,963
2002,1005
2003,296
2004,296
2005,296
2006,295
2007,295
2008,334
2009,334
2010,271
2011,139
2012,139
2013,380
2014,919
2015,742
2016,610
2017,120
2018,120
2019,512
2020,512
2021,862
2022,66
2023,66
2024,189
2025,676
