year,firn_cells
1970,0
1971,1479
1972,1485
1973,1503
1974,1503
1975,1504
1976,1505
1977,1505
1978,1505
1979,1505
1980,1505
1981,1505
1982,1505
1983,1504
1984,1504
1985,1504
1986,1504
1987,1504
1988,1502
1989,1502
1990,1500
1991,1469
1992,1469
1993,1469
1994,1469
1995,1469
1996,1446
1997,1440
1998,1221
1999,1221
2000,668
2001,668
2002,1220
2003,37
2004,37
2005,37
2006,37
2007,37
2008,380
2009,308
2010,225
2011,102
2012,102
2013,140
2014,368
2015,394
2016,218
2017,22
2018,22
2019,107
2020,107
2021,485
2022,28
2023,28
2024,57
2025,271
