year,firn_cells
1970,0
1971,950
1972,839
1973,779
1974,779
1975,1272
1976,1000
1977,1000
1978,2213
1979,1742
1980,1742
1981,1509
1982,1320
1983,1319
1984,1319
1985,1300
1986,1200
1987,1200
1988,1200
1989,1136
1990,1095
1991,1030
1992,1030
1993,1030
1994,936
1995,936
1996,936
1997,936
1998,801
1999,801
2000,767
2001,149
2002,49
2003,49
2004,49
2005,0
2006,0
2007,0
2008,10
2009,0
2010,0
2011,0
2012,0
2013,20
2014,130
2015,10
2016,10
2017,76
2018,19
2019,9
2020,6
2021,6
2022,0
2023,0
2024,0
2025,0
