year,firn_cells
1970,0
1971,719
1972,719
1973,1235
1974,909
1975,909
1976,584
1977,584
1978,3609
1979,2357
1980,2357
1981,2360
1982,2273
1983,2249
1984,2249
1985,2138
1986,2126
1987,1983
1988,1983
1989,2022
1990,1847
1991,1804
1992,1732
1993,1732
1994,1850
1995,1850
1996,2396
1997,2175
1998,1285
1999,1285
2000,1611
2001,1611
2002,2217
2003,799
2004,799
2005,1151
2006,845
2007,845
2008,1113
2009,1080
2010,1003
2011,823
2012,799
2013,799
2014,1768
2015,944
2016,944
2017,798
2018,798
2019,782
2020,782
2021,1054
2022,95
2023,95
2024,114
2025,543
